season,page,title,encoding
,tablesm/mex2018.html,,iso-8859-1
,tablesm/mex2019.html,,
,tablesm/mex2020.html,,
,tablesm/mex2021.html,,
,tablesm/mex2022.html,,
,tablesm/mex2023.html,,
,tablesm/mex2024.html,,
,tablesm/mex2025.html,Mexico,
,tablesm/mex2026.html,Mexico,
,tablesu/usa96.html,,
,tablesu/usa97.html,,
,tablesu/usa98.html,,
,tablesu/usa99.html,,
,tablesu/usa00.html,,
,tablesu/usa01.html,,
,tablesu/usa02.html,,
,tablesu/usa03.html,,
,tablesu/usa04.html,,
,tablesu/usa05.html,,
,tablesu/usa06.html,,
,tablesu/usa07.html,,
,tablesu/usa08.html,,
,tablesu/usa09.html,,
,tablesu/usa2010.html,,
,tablesu/usa2011.html,,
,tablesu/usa2012.html,,
,tablesu/usa2013.html,,
,tablesu/usa2014.html,,
,tablesu/usa2015.html,,
,tablesu/usa2016.html,,
,tablesu/usa2017.html,,
,tablesu/usa2018.html,,
,tablesu/usa2019.html,,
,tablesu/usa2020.html,,
,tablesu/usa2021.html,,
,tablesu/usa2022.html,,
,tablesu/usa2023.html,,
,tablesu/usa2024.html,,
,tablesu/usa2025.html,United States,
,tablesa/alg2026.html,Algeria,
,tablesa/alg2025.html,Algeria,
,tablese/egy2025.html,Egypt,
,tablesm/maro2025.html,Morocco,
,tablesz/zaf2025.html,South Africa,
,tablesa/arg2026.html,Argentina,
,tablesa/arg2025.html,Argentina,
,tablesu/uru2026.html,Uruguay,
,tablesu/uru2025.html,Uruguay,
,tablesc/col2025.html,Colombia,
,tablesa/aus2025.html,Australia,
,tablesj/jpn2025.html,Japan,utf-16le
,tabless/skor2025.html,South Korea,
,tablesc/china2025.html,China,
,tabless/sau2025.html,Saudi Arabia,
,tablesi/isra2025.html,Israel,
,tablesf/fran2025.html,France,
,tablesp/port2025.html,Portugal,
,tablesb/belg2025.html,Belgium,
,tablesn/ned2026.html,Netherlands,
,tablesn/ned2025.html,Netherlands,
,tabless/scot2025.html,Scotland,
,tablesi/ier2025.html,Ireland,
,tablesw/wal2025.html,Wales,
