encoding,path,title
iso-8859-1,/miscellaneous/isra-intlp-revivo.html,Haim Revivo International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-rosenthal.html,Roni Rosenthal International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-rozen.html,Zvi Rozen International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-shelah.html,Amir Shelah International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-shum.html,Itzhak Shum International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-spiegel.html,Giora Spiegel International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-spiegler.html,Mordechai Spiegler International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-stelmach.html,Nahum Stelmach International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-tal.html,Idan Tal International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-talbi.html,Rahamim Talbi International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-visoker.html,Itzik Visoker International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-young.html,Robi Young International Games and Goals
iso-8859-1,/miscellaneous/isra-recintlc.html,Israel National Team - Coaches Balances
iso-8859-1,/miscellaneous/isra-recintlg.html,Israel National Team - Goalkeepers Appearances and Goals Conceding
iso-8859-1,/miscellaneous/isra-recintlp.html,Israel National Team - Appearances and Goalscoring
iso-8859-1,/miscellaneous/jewish-ww.html,Jewish Teams Worldwide
iso-8859-1,/miscellaneous/natnallt.html,World All-
iso-8859-1,/miscellaneous/oldest-youngest.html,Oldest and youngest players and goal-scorers in international football
iso-8859-1,/miscellaneous/torre-afr-best.html,The best clubs of Africa
iso-8859-1,/miscellaneous/torre-arg-best.html,Argentina national ranking
iso-8859-1,/miscellaneous/torre-asia-best.html,The best clubs of Asia
iso-8859-1,/miscellaneous/torre-belg-best.html,Belgium national ranking
iso-8859-1,/miscellaneous/torre-braz-best.html,Brazil national ranking
iso-8859-1,/miscellaneous/torre-bulg-best.html,Bulgaria national ranking
iso-8859-1,/miscellaneous/torre-cam-best.html,The best clubs of Central and North America
iso-8859-1,/miscellaneous/torre-duit-best.html,Germany national ranking
iso-8859-1,/miscellaneous/torre-ec-best.html,The best clubs of Europe
iso-8859-1,/miscellaneous/torre-eng-best.html,England national ranking
iso-8859-1,/miscellaneous/torre-fran-best.html,France national ranking
iso-8859-1,/miscellaneous/torre-grk-best.html,Greece national ranking
iso-8859-1,/miscellaneous/torre-hong-best.html,Hungary national ranking
iso-8859-1,/miscellaneous/torre-ital-best.html,Italy national ranking
iso-8859-1,/miscellaneous/torre-ned-best.html,Netherlands national ranking
iso-8859-1,/miscellaneous/torre-ocean-best.html,The best clubs of Oceania
iso-8859-1,/miscellaneous/torre-oost-best.html,Austria national ranking
iso-8859-1,/miscellaneous/torre-port-best.html,Portugal national ranking
iso-8859-1,/miscellaneous/torre-roem-best.html,Romania national ranking
iso-8859-1,/miscellaneous/torre-sac-best.html,The best clubs of South America
iso-8859-1,/miscellaneous/torre-scot-best.html,Scotland national ranking
iso-8859-1,/miscellaneous/torre-span-best.html,Spain national ranking
iso-8859-1,/miscellaneous/torre-tur-best.html,Turkey national ranking
iso-8859-1,/miscellaneous/tsjsl-poy.html,Czechoslovakia - Player of the Year
iso-8859-1,/players/twogenerations.html,"Fathers and sons, mothers and daughters, appearing together in national football teams"
iso-8859-1,/profiles.html,RSSSF Who Is Who
iso-8859-1,/sacups/penarol-copa.html,Peñarol in Copa Libertadores
iso-8859-1,/sacups/penarol-copa1969.html,Peñarol in Copa Libertadores 1960-1969
iso-8859-1,/sacups/penarol-copa1979.html,Peñarol in Copa Libertadores 1970-1979
iso-8859-1,/sacups/penarol-copa1998.html,Peñarol in Copa Libertadores 1995-1998
iso-8859-1,/sacups/penarol-copa2009.html,Peñarol in Copa Libertadores 2000-2009
iso-8859-1,/sacups/penarol-copa2019.html,Peñarol in Copa Libertadores 2011-2019
iso-8859-1,/sacups/penarol-icc.html,Peñarol in Intercontinental Cup
ISO-8859-1,/tables/1927-china-tour-oz.html,China XI tour of Australia 1927
iso-8859-1,/tables/2016e-det.html,European Championship 2016 (Details Final Tournament)
iso-8859-1,/tables/2021e-det.html,European Championship 2021 (Details Final Tournament)
ISO-8859-1,/tables/57a-det.html,African Nations Cup 1957
ISO-8859-1,/tables/57a.html,African Nations Cup 1957
ISO-8859-1,/tables/59a-det.html,African Nations Cup 1959
ISO-8859-1,/tables/59a.html,African Nations Cup 1959
ISO-8859-1,/tables/62a.html,African Nations Cup 1962
ISO-8859-1,/tables/63a.html,African Nations Cup 1963
iso-8859-1,/tables/64asch.html,Asian Nations Cup 1964
iso-8859-1,/tables/99safull.html,Copa América 1999
iso-8859-1,/tablesa/arg-b-intres.html,"B" Argentina National Team
iso-8859-1,/tablesa/arg-diss-intres.html,Dissident Results of Argentina 1912-1934
iso-8859-1,/tablesa/arg-intres.html,ARGENTINA NATIONAL TEAM ARCHIVE
iso-8859-1,/tablesa/arg-mendoza-cv.html,Torneos Vendimia - Zonal del Vino - Reducidos - Summer Tournaments
iso-8859-1,/tablesa/arg-mendoza21.html,Liga Mendocina 1921
iso-8859-1,/tablesa/arg-mendoza22.html,Liga Mendocina 1922
iso-8859-1,/tablesa/arg-mendoza23.html,Liga Mendocina 1923
iso-8859-1,/tablesa/arg-mendoza24.html,Liga Mendocina 1924
iso-8859-1,/tablesa/arg-mendoza25.html,Liga Mendocina 1925
iso-8859-1,/tablesa/arg-mendoza26.html,Liga Mendocina 1926
iso-8859-1,/tablesa/arg-mendoza27.html,Liga Mendocina 1927
iso-8859-1,/tablesa/arg-mendoza28.html,Liga Mendocina 1928
iso-8859-1,/tablesa/arg-mendoza29.html,Liga Mendocina 1929
iso-8859-1,/tablesa/arg-mendoza2champ.html,Liga Mendocina - Second Level Champions
iso-8859-1,/tablesa/arg-mendoza30.html,Liga Mendocina 1930
iso-8859-1,/tablesa/arg-mendoza31.html,Liga Mendocina 1931
iso-8859-1,/tablesa/arg-mendoza32.html,Liga Mendocina 1932
iso-8859-1,/tablesa/arg-mendoza33.html,Liga Mendocina 1933
iso-8859-1,/tablesa/arg-mendoza34.html,Liga Mendocina 1934
iso-8859-1,/tablesa/arg-mendoza35.html,Liga Mendocina 1935
iso-8859-1,/tablesa/arg-mendoza36.html,Liga Mendocina 1936
iso-8859-1,/tablesa/arg-mendoza37.html,Liga Mendocina 1937
iso-8859-1,/tablesa/arg-mendoza38.html,Liga Mendocina 1938
iso-8859-1,/tablesa/arg-mendoza39.html,Liga Mendocina 1939
iso-8859-1,/tablesa/arg-mendoza3champ.html,Liga Mendocina - Third Level Champions
iso-8859-1,/tablesa/arg-mendoza40.html,Liga Mendocina 1940
iso-8859-1,/tablesa/arg-mendoza41.html,Liga Mendocina 1941
iso-8859-1,/tablesa/arg-mendoza42.html,Liga Mendocina 1942
iso-8859-1,/tablesa/arg-mendoza43.html,Liga Mendocina 1943
iso-8859-1,/tablesa/arg-mendoza44.html,Liga Mendocina 1944
iso-8859-1,/tablesa/arg-mendoza45.html,Liga Mendocina 1945
iso-8859-1,/tablesa/arg-mendoza46.html,Liga Mendocina 1946
iso-8859-1,/tablesa/arg-mendoza47.html,Liga Mendocina 1947
iso-8859-1,/tablesa/arg-mendoza48.html,Liga Mendocina 1948
iso-8859-1,/tablesa/arg-mendoza49.html,Liga Mendocina 1949
iso-8859-1,/tablesa/arg-mendoza50.html,Liga Mendocina 1950
iso-8859-1,/tablesa/arg-mendoza51.html,Liga Mendocina 1951
iso-8859-1,/tablesa/arg-mendoza52.html,Liga Mendocina 1952
iso-8859-1,/tablesa/arg-mendoza53.html,Liga Mendocina 1953
iso-8859-1,/tablesa/arg-mendoza54.html,Liga Mendocina 1954
iso-8859-1,/tablesa/arg-mendoza55.html,Liga Mendocina 1955
iso-8859-1,/tablesa/arg-mendoza57.html,Liga Mendocina 1957
iso-8859-1,/tablesa/arg-mendoza58.html,Liga Mendocina 1958
iso-8859-1,/tablesa/arg-mendoza59.html,Liga Mendocina 1959
iso-8859-1,/tablesa/arg-mendoza61.html,Liga Mendocina 1961
iso-8859-1,/tablesa/arg-mendoza63.html,Liga Mendocina 1963
iso-8859-1,/tablesa/arg-mendoza64.html,Liga Mendocina 1964
iso-8859-1,/tablesa/arg-mendoza65.html,Liga Mendocina 1965
iso-8859-1,/tablesa/arg-mendoza66.html,Liga Mendocina 1966
iso-8859-1,/tablesa/arg-mendoza67.html,Liga Mendocina 1967
iso-8859-1,/tablesa/arg-mendoza68.html,Liga Mendocina 1968
iso-8859-1,/tablesa/arg-mendoza69.html,Liga Mendocina 1969
iso-8859-1,/tablesa/arg-mendoza70.html,Liga Mendocina 1970
iso-8859-1,/tablesa/arg-mendoza71.html,Liga Mendocina 1971
iso-8859-1,/tablesa/arg-mendoza72.html,Liga Mendocina 1972
iso-8859-1,/tablesa/arg-mendoza73.html,Liga Mendocina 1973
iso-8859-1,/tablesa/arg-mendoza74.html,Liga Mendocina 1974
iso-8859-1,/tablesa/arg-mendoza75.html,Liga Mendocina 1975
iso-8859-1,/tablesa/arg-mendoza76.html,Liga Mendocina 1976
iso-8859-1,/tablesa/arg-mendoza77.html,Liga Mendocina 1977
